,Symbol,Name,Market,SYMBOL,cik
0,MMM,3M,S&P500,MMM,CIK0000066740
1,AOS,A. O. Smith,S&P500,AOS,CIK0000091142
2,ABT,Abbott,S&P500,ABT,CIK0000001800
3,ABBV,AbbVie,S&P500,ABBV,CIK0001551152
4,ACN,Accenture,S&P500,ACN,CIK0001467373
5,ATVI,Activision Blizzard,S&P500,ATVI,CIK0000718877
6,ADM,ADM,S&P500,ADM,CIK0000007084
7,ADBE,Adobe Inc.,S&P500,ADBE,CIK0000796343
8,ADP,ADP,S&P500,ADP,CIK0000008670
9,AAP,Advance Auto Parts,S&P500,AAP,CIK0001158449
10,AES,AES Corporation,S&P500,AES,CIK0000874761
11,AFL,Aflac,S&P500,AFL,CIK0000004977
12,A,Agilent Technologies,S&P500,A,CIK0001090872
13,APD,Air Products and Chemicals,S&P500,APD,CIK0000002969
14,AKAM,Akamai,S&P500,AKAM,CIK0001086222
15,ALK,Alaska Air Group,S&P500,ALK,CIK0000766421
16,ALB,Albemarle Corporation,S&P500,ALB,CIK0000915913
17,ARE,Alexandria Real Estate Equities,S&P500,ARE,
18,ALGN,Align Technology,S&P500,ALGN,CIK0001097149
19,ALLE,Allegion,S&P500,ALLE,CIK0001579241
20,LNT,Alliant Energy,S&P500,LNT,CIK0000352541
21,ALL,Allstate,S&P500,ALL,CIK0000899051
22,GOOGL,Alphabet Inc. (Class A),S&P500,GOOGL,CIK0001652044
23,GOOG,Alphabet Inc. (Class C),S&P500,GOOG,CIK0001652044
24,MO,Altria,S&P500,MO,CIK0000764180
25,AMZN,Amazon,S&P500,AMZN,CIK0001018724
26,AMCR,Amcor,S&P500,AMCR,CIK0001748790
27,AMD,AMD,S&P500,AMD,CIK0000002488
28,AEE,Ameren,S&P500,AEE,CIK0001002910
29,AAL,American Airlines Group,S&P500,AAL,CIK0000006201
30,AEP,American Electric Power,S&P500,AEP,CIK0000004904
31,AXP,American Express,S&P500,AXP,
32,AIG,American International Group,S&P500,AIG,CIK0000005272
33,AMT,American Tower,S&P500,AMT,CIK0001053507
34,AWK,American Water Works,S&P500,AWK,CIK0001410636
35,AMP,Ameriprise Financial,S&P500,AMP,CIK0000820027
36,ABC,AmerisourceBergen,S&P500,ABC,CIK0001140859
37,AME,Ametek,S&P500,AME,CIK0001037868
38,AMGN,Amgen,S&P500,AMGN,CIK0000318154
39,APH,Amphenol,S&P500,APH,CIK0000820313
40,ADI,Analog Devices,S&P500,ADI,CIK0000006281
41,ANSS,Ansys,S&P500,ANSS,CIK0001013462
42,AON,Aon,S&P500,AON,CIK0000315293
43,APA,APA Corporation,S&P500,APA,CIK0001841666
44,AAPL,Apple Inc,S&P500,AAPL,CIK0000320193
45,AMAT,Applied Materials,S&P500,AMAT,CIK0000006951
46,APTV,Aptiv,S&P500,APTV,CIK0001521332
47,ACGL,Arch Capital Group,S&P500,ACGL,CIK0000947484
48,ANET,Arista Networks,S&P500,ANET,CIK0001596532
49,AJG,Arthur J. Gallagher & Co.,S&P500,AJG,CIK0000354190
50,AIZ,Assurant,S&P500,AIZ,CIK0001267238
51,T,AT&T,S&P500,T,CIK0000732717
52,ATO,Atmos Energy,S&P500,ATO,CIK0000731802
53,ADSK,Autodesk,S&P500,ADSK,CIK0000769397
54,AZO,AutoZone,S&P500,AZO,CIK0000866787
55,AVB,AvalonBay Communities,S&P500,AVB,CIK0000915912
56,AVY,Avery Dennison,S&P500,AVY,CIK0000008818
