SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20230403|B38564108|EURN|1795|EURONAV NV ANTWERPEN (BELGIUM)|16.79
20230403|D18190898|DB|27200|DEUTSCHE BANK AG NAMEN AKT (DE|10.21
20230403|G0085J109|ADSEW|324|ADS TEC ENERGY PLC WTS TO SUBS|0.25
20230403|G01767105|ALKS|1146|ALKERMES PLC ORDINARY SHS (IRE|28.19
20230403|G0223V105|ATMC|234|ALPHATIME ACQUISITION CORP ORD|10.22
20230403|G0230C116|ALSAW|2363|ALPHA STAR ACQUISITION CORP US|0.01
20230403|G02532102|AMBI|46649|AMBIPAR EMERGENCY RESPONSE ORD|8.23
20230403|G02532110|AMBIWS|1227|AMBIPAR EMERGENCY RESPONSE WT |0.32
20230403|G0283A108|ATMV|750|ALPHAVEST ACQUISITION CORP SHS|10.31
20230403|G0283A116|ATMVR|3442|ALPHAVEST ACQUISITION CORP RT(|0.11
20230403|G0369L101|ANGH|5|ANGHAMI INC SHS (CYM)|1.70
20230403|G037AX101|AMBA|233|AMBARELLA, INC ORD SHS|77.42
20230403|G04058114|APCAWS|80|AP ACQUISITION CORP RED WT EXP|0.11
20230403|G0411D107|APLM|13964|APOLLOMICS INC. USD CL A SHS (|24.20
20230403|G0411D115|APLMW|4013|APOLLOMICS INC. USD WTS (CYM)0|0.11
20230403|G0450A105|ACGL|1209|ARCH CAPITAL GROUP LTD|67.87
20230403|G04553106|ARCE|98|ARCO PLATFORM LTD CL A COM (CY|10.96
20230403|G0464B107|ARGO|2110|ARGO GROUP INTERNATIONAL HOLDI|29.29
20230403|G05384204|AHLPRE|544|ASPEN INSURANCE HOLD LIM DEP S|19.07
20230403|G0567U101|ARQQ|18278|ARQIT QUANTUM INC COM (CYM)|1.40
20230403|G0602B209|ATIF|7|ATIF HLDGS LTD USD ORD SHS NEW|2.05
20230403|G06536117|WAVCWS|516|WAVERLEY CAP ACQUISITION CORP |0.09
20230403|G06984127|ATAKW|4170|AURORA TECHNOLOGY ACQUISITION |0.02
20230403|G0703K124|AXACRT|15596|AXIOS SUSTAINABLE GROWTH ACQUI|0.19
20230403|G07031209|BBLN|3994|BABYLON HLDGS LTD CL A|5.09
20230403|G0704V103|RTC|209|BAIJIAYUN GROUP LTD SHS CL A U|7.68
20230403|G0751N103|AY|46|ATLANTICA SUSTAINABLE INFRASTR|29.56
20230403|G0772R208|NTB|57|BANK OF NT BUTTERFIELD & SON|27.00
20230403|G08908124|BAOS|7|BAOSHENG MEDIA GROUP HLDGS LTD|3.45
