SYMBOL,DESCRIPTION,ticker,cik,TICKER,CIK
EURN,EURONAV NV ANTWERPEN (BELGIUM),EURN,CIK0001604481,EURN,CIK0001604481
DB,DEUTSCHE BANK AG NAMEN AKT (DE,DB,CIK0001159508,DB,CIK0001159508
ADSEW,ADS TEC ENERGY PLC WTS TO SUBS,ADSEW,CIK0001879248,ADSEW,CIK0001879248
ALKS,ALKERMES PLC ORDINARY SHS (IRE,ALKS,CIK0001520262,ALKS,CIK0001520262
ALSAW,ALPHA STAR ACQUISITION CORP US,ALSAW,CIK0001865111,ALSAW,CIK0001865111
ANGH,ANGHAMI INC SHS (CYM),ANGH,CIK0001871983,ANGH,CIK0001871983
AMBA,"AMBARELLA, INC ORD SHS",AMBA,CIK0001280263,AMBA,CIK0001280263
ACGL,ARCH CAPITAL GROUP LTD,ACGL,CIK0000947484,ACGL,CIK0000947484
ARCE,ARCO PLATFORM LTD CL A COM (CY,ARCE,CIK0001740594,ARCE,CIK0001740594
ARGO,ARGO GROUP INTERNATIONAL HOLDI,ARGO,CIK0001091748,ARGO,CIK0001091748
ARQQ,ARQIT QUANTUM INC COM (CYM),ARQQ,CIK0001859690,ARQQ,CIK0001859690
ATIF,ATIF HLDGS LTD USD ORD SHS NEW,ATIF,CIK0001755058,ATIF,CIK0001755058
ATAKW,AURORA TECHNOLOGY ACQUISITION ,ATAKW,CIK0001883788,ATAKW,CIK0001883788
BBLN,BABYLON HLDGS LTD CL A,BBLN,CIK0001866390,BBLN,CIK0001866390
AY,ATLANTICA SUSTAINABLE INFRASTR,AY,CIK0001601072,AY,CIK0001601072
NTB,BANK OF NT BUTTERFIELD & SON,NTB,CIK0001653242,NTB,CIK0001653242
BAOS,BAOSHENG MEDIA GROUP HLDGS LTD,BAOS,CIK0001811216,BAOS,CIK0001811216
BYTS,BYTE ACQUISITION CORP,BYTS,CIK0001842566,BYTS,CIK0001842566
BYSI,BEYONDSPRING INC ORD SHS (CYM),BYSI,CIK0001677940,BYSI,CIK0001677940
BHVN,BIOHAVEN RESH LTD. USD COM SHS,BHVN,CIK0001689813,BHVN,CIK0001689813
BIOX,BIOCERES CROP SOLUTIONS CORP. ,BIOX,CIK0001769484,BIOX,CIK0001769484
BTBT,"BIT DIGITAL, INC. ORDINARY SHA",BTBT,CIK0001710350,BTBT,CIK0001710350
BTB,BIT BRO LTD SHS NEW USD CL A O,BTB,CIK0001543268,BTB,CIK0001543268
BSAQ,BLACK SPADE ACQUISITION CO COM,BSAQ,CIK0001851908,BSAQ,CIK0001851908
BLEUR,BLEUACACIA LTD RT (CYM),BLEUR,CIK0001843370,BLEUR,CIK0001843370
BSGA,BLUE SAFARI GROUP ACQUISITION ,BSGA,CIK0001853084,BSGA,CIK0001853084
BRQS,BORQS TECHNOLOGIES INC SHS NEW,BRQS,CIK0001650575,BRQS,CIK0001650575
BORR,BORR DRILLING LTD SHS NEW DEC ,BORR,CIK0001715497,BORR,CIK0001715497
BBU,BROOKFIELD BUSINESS PARTNERS L,BBU,CIK0001654795,BBU,CIK0001654795
BPYPM,BROOKFIELD PPTY PFD LP UNIT LT,BPYPM,CIK0001545772,BPYPM,CIK0001545772
BPYPP,BROOKFIELD PPTY PARTNERS LP PF,BPYPP,CIK0001545772,BPYPP,CIK0001545772
BEP,BROOKFIELD RENEWABLE PARTNERS ,BEP,CIK0001533232,BEP,CIK0001533232
BRLIW,BRILLIANT ACQUISITION CORP WT ,BRLIW,CIK0001787518,BRLIW,CIK0001787518
BG,BUNGE LIMITED,BG,CIK0001144519,BG,CIK0001144519
CMCL,CALEDONIA MNG CORP PLC SHS NEW,CMCL,CIK0000766011,CMCL,CIK0000766011
BUR,"BURFORD CAPITAL LIMITED, ST PE",BUR,CIK0001714174,BUR,CIK0001714174
CASI,CASI PHARMACEUTICALS HLDGS INC,CASI,CIK0000895051,CASI,CIK0000895051
BANL,CBL INTL LTD SHS (CYM),BANL,CIK0001914805,BANL,CIK0001914805
CITEW,CARTICA ACQUISITION CORP RED W,CITEW,CIK0001848437,CITEW,CIK0001848437
DPCSW,DP CAP ACQUISITION CORP I WT E,DPCSW,CIK0001857803,DPCSW,CIK0001857803
CZOO,CAZOO GROUP LTD CL A NEW (CYM),CZOO,CIK0001859639,CZOO,CIK0001859639
CLAY,CHAVANT CAP ACQUISITION CORP C,CLAY,CIK0001855467,CLAY,CIK0001855467
CHSN,CHANSON INTL HLDG USD CL A ORD,CHSN,CIK0001825349,CHSN,CIK0001825349
CJJD,CHINA JOJO DRUGSTORES INC COM ,CJJD,CIK0001856084,CJJD,CIK0001856084
CMPR,CIMPRESS PLC SHS EURO (IRL),CMPR,CIK0001262976,CMPR,CIK0001262976
TRON,CORNER GROWTH ACQUISITION CORP,TRON,CIK0001847513,TRON,CIK0001847513
CRDO,CREDO TECHNOLOGY GROUP HLDG LT,CRDO,CIK0001807794,CRDO,CIK0001807794
CCEP,COCA-COLA EUROPACIFIC PARTNERS,CCEP,CIK0001650107,CCEP,CIK0001650107
DESP,DESPEGAR.COM CORP ORD SH (VGB),DESP,CIK0001703141,DESP,CIK0001703141
DSEY,DIVERSEY HLDGS LTD ORD SHS (CY,DSEY,CIK0001831617,DSEY,CIK0001831617
DLO,DLOCAL LTD COM CL A (CYM),DLO,CIK0001846832,DLO,CIK0001846832
ETN,EATON CORP PLC (IRL),ETN,CIK0001551182,ETN,CIK0001551182
EJH,E-HOME HOUSEHOLD SVC HLDGS LTD,EJH,CIK0001769768,EJH,CIK0001769768
GGAA,GENESIS GROWTH TECH ACQ CORP,GGAA,CIK0001865697,GGAA,CIK0001865697
GGAAW,GENESIS GROWTH TECH ACQUISITIO,GGAAW,CIK0001865697,GGAAW,CIK0001865697
