Symbol	Name	Market
MMM	3M	S&P500
AOS	A. O. Smith	S&P500
ABT	Abbott	S&P500
ABBV	AbbVie	S&P500
ACN	Accenture	S&P500
ATVI	Activision Blizzard	S&P500
ADM	ADM	S&P500
ADBE	Adobe Inc.	S&P500
ADP	ADP	S&P500
AAP	Advance Auto Parts	S&P500
AES	AES Corporation	S&P500
AFL	Aflac	S&P500
A	Agilent Technologies	S&P500
APD	Air Products and Chemicals	S&P500
AKAM	Akamai	S&P500
ALK	Alaska Air Group	S&P500
ALB	Albemarle Corporation	S&P500
ARE	Alexandria Real Estate Equities	S&P500
ALGN	Align Technology	S&P500
ALLE	Allegion	S&P500
LNT	Alliant Energy	S&P500
ALL	Allstate	S&P500
GOOGL	Alphabet Inc. (Class A)	S&P500
GOOG	Alphabet Inc. (Class C)	S&P500
MO	Altria	S&P500
AMZN	Amazon	S&P500
AMCR	Amcor	S&P500
AMD	AMD	S&P500
AEE	Ameren	S&P500
AAL	American Airlines Group	S&P500
AEP	American Electric Power	S&P500
AXP	American Express	S&P500
AIG	American International Group	S&P500
AMT	American Tower	S&P500
AWK	American Water Works	S&P500
AMP	Ameriprise Financial	S&P500
ABC	AmerisourceBergen	S&P500
AME	Ametek	S&P500
AMGN	Amgen	S&P500
APH	Amphenol	S&P500
ADI	Analog Devices	S&P500
ANSS	Ansys	S&P500
AON	Aon	S&P500
APA	APA Corporation	S&P500
AAPL	Apple Inc.	S&P500
AMAT	Applied Materials	S&P500
APTV	Aptiv	S&P500
ACGL	Arch Capital Group	S&P500
ANET	Arista Networks	S&P500
AJG	Arthur J. Gallagher & Co.	S&P500
AIZ	Assurant	S&P500
T	AT&T	S&P500
ATO	Atmos Energy	S&P500
ADSK	Autodesk	S&P500
AZO	AutoZone	S&P500
AVB	AvalonBay Communities	S&P500
AVY	Avery Dennison	S&P500
BKR	Baker Hughes	S&P500
BALL	Ball Corporation	S&P500
BAC	Bank of America	S&P500
BBWI	Bath & Body Works, Inc.	S&P500
BAX	Baxter International	S&P500
BDX	Becton Dickinson	S&P500
WRB	Berkley	S&P500
BRK.B	Berkshire Hathaway	S&P500
BBY	Best Buy	S&P500
BIO	Bio-Rad	S&P500
TECH	Bio-Techne	S&P500
BIIB	Biogen	S&P500
BLK	BlackRock	S&P500
BK	BNY Mellon	S&P500
BA	Boeing	S&P500
BKNG	Booking Holdings	S&P500
BWA	BorgWarner	S&P500
BXP	Boston Properties	S&P500
BSX	Boston Scientific	S&P500
BMY	Bristol Myers Squibb	S&P500
AVGO	Broadcom Inc.	S&P500
BR	Broadridge Financial Solutions	S&P500
BRO	Brown & Brown	S&P500
BF.B	Brown–Forman	S&P500
CHRW	C.H. Robinson	S&P500
CDNS	Cadence Design Systems	S&P500
CZR	Caesars Entertainment	S&P500
CPT	Camden Property Trust	S&P500
CPB	Campbell Soup Company	S&P500
COF	Capital One	S&P500
CAH	Cardinal Health	S&P500
KMX	CarMax	S&P500
CCL	Carnival	S&P500
CARR	Carrier Global	S&P500
CTLT	Catalent	S&P500
CAT	Caterpillar Inc.	S&P500
CBOE	Cboe Global Markets	S&P500
CBRE	CBRE Group	S&P500
CDW	CDW	S&P500
CE	Celanese	S&P500
CNC	Centene Corporation	S&P500
CNP	CenterPoint Energy	S&P500
CDAY	Ceridian	S&P500
CF	CF Industries	S&P500
CRL	Charles River Laboratories	S&P500
SCHW	Charles Schwab Corporation	S&P500
CHTR	Charter Communications	S&P500
CVX	Chevron Corporation	S&P500
CMG	Chipotle Mexican Grill	S&P500
CB	Chubb Limited	S&P500
CHD	Church & Dwight	S&P500
CI	Cigna	S&P500
CINF	Cincinnati Financial	S&P500
CTAS	Cintas	S&P500
CSCO	Cisco	S&P500
C	Citigroup	S&P500
CFG	Citizens Financial Group	S&P500
CLX	Clorox	S&P500
CME	CME Group	S&P500
CMS	CMS Energy	S&P500
KO	The Coca-Cola Company	S&P500
CTSH	Cognizant	S&P500
CL	Colgate-Palmolive	S&P500
CMCSA	Comcast	S&P500
CMA	Comerica	S&P500
CAG	ConAgra Foods	S&P500
COP	ConocoPhillips	S&P500
ED	Consolidated Edison	S&P500
STZ	Constellation Brands	S&P500
CEG	Constellation Energy	S&P500
COO	CooperCompanies	S&P500
CPRT	Copart	S&P500
GLW	Corning Inc.	S&P500
CTVA	Corteva	S&P500
CSGP	CoStar Group	S&P500
COST	Costco	S&P500
CTRA	Coterra	S&P500
CCI	Crown Castle	S&P500
CSX	CSX	S&P500
CMI	Cummins	S&P500
CVS	CVS Health	S&P500
DHI	D.R. Horton	S&P500
DHR	Danaher Corporation	S&P500
DRI	Darden Restaurants	S&P500
DVA	DaVita Inc.	S&P500
DE	John Deere	S&P500
DAL	Delta Air Lines	S&P500
XRAY	Dentsply Sirona	S&P500
DVN	Devon Energy	S&P500
DXCM	Dexcom	S&P500
FANG	Diamondback Energy	S&P500
DLR	Digital Realty	S&P500
DFS	Discover Financial	S&P500
DISH	Dish Network	S&P500
DIS	Disney	S&P500
DG	Dollar General	S&P500
DLTR	Dollar Tree	S&P500
D	Dominion Energy	S&P500
DPZ	Domino's	S&P500
DOV	Dover Corporation	S&P500
DOW	Dow Inc.	S&P500
DTE	DTE Energy	S&P500
DUK	Duke Energy	S&P500
DD	DuPont	S&P500
DXC	DXC Technology	S&P500
EMN	Eastman Chemical Company	S&P500
ETN	Eaton Corporation	S&P500
EBAY	eBay	S&P500
ECL	Ecolab	S&P500
EIX	Edison International	S&P500
EW	Edwards Lifesciences	S&P500
EA	Electronic Arts	S&P500
ELV	Elevance Health	S&P500
LLY	Eli Lilly and Company	S&P500
EMR	Emerson Electric	S&P500
ENPH	Enphase	S&P500
ETR	Entergy	S&P500
EOG	EOG Resources	S&P500
EPAM	EPAM Systems	S&P500
EQT	EQT	S&P500
EFX	Equifax	S&P500
EQIX	Equinix	S&P500
EQR	Equity Residential	S&P500
ESS	Essex Property Trust	S&P500
EL	The Estée Lauder Companies	S&P500
ETSY	Etsy	S&P500
RE	Everest Re	S&P500
EVRG	Evergy	S&P500
ES	Eversource	S&P500
EXC	Exelon	S&P500
EXPE	Expedia Group	S&P500
EXPD	Expeditors International	S&P500
EXR	Extra Space Storage	S&P500
XOM	ExxonMobil	S&P500
FFIV	F5, Inc.	S&P500
FDS	FactSet	S&P500
FAST	Fastenal	S&P500
FRT	Federal Realty	S&P500
FDX	FedEx	S&P500
FITB	Fifth Third Bank	S&P500
FRC	First Republic Bank	S&P500
FSLR	First Solar	S&P500
