SYMBOL,DESCRIPTION,cik
EURN,EURONAV NV ANTWERPEN (BELGIUM),CIK0001604481
DB,DEUTSCHE BANK AG NAMEN AKT (DE,CIK0001159508
ADSEW,ADS TEC ENERGY PLC WTS TO SUBS,CIK0001879248
ALKS,ALKERMES PLC ORDINARY SHS (IRE,CIK0001520262
ALSAW,ALPHA STAR ACQUISITION CORP US,CIK0001865111
ANGH,ANGHAMI INC SHS (CYM),CIK0001871983
AMBA,"AMBARELLA, INC ORD SHS",CIK0001280263
ACGL,ARCH CAPITAL GROUP LTD,CIK0000947484
ARCE,ARCO PLATFORM LTD CL A COM (CY,CIK0001740594
ARGO,ARGO GROUP INTERNATIONAL HOLDI,CIK0001091748
ARQQ,ARQIT QUANTUM INC COM (CYM),CIK0001859690
ATIF,ATIF HLDGS LTD USD ORD SHS NEW,CIK0001755058
ATAKW,AURORA TECHNOLOGY ACQUISITION ,CIK0001883788
BBLN,BABYLON HLDGS LTD CL A,CIK0001866390
AY,ATLANTICA SUSTAINABLE INFRASTR,CIK0001601072
NTB,BANK OF NT BUTTERFIELD & SON,CIK0001653242
BAOS,BAOSHENG MEDIA GROUP HLDGS LTD,CIK0001811216
BYTS,BYTE ACQUISITION CORP,CIK0001842566
BYSI,BEYONDSPRING INC ORD SHS (CYM),CIK0001677940
BHVN,BIOHAVEN RESH LTD. USD COM SHS,CIK0001689813
BIOX,BIOCERES CROP SOLUTIONS CORP. ,CIK0001769484
BTBT,"BIT DIGITAL, INC. ORDINARY SHA",CIK0001710350
BTB,BIT BRO LTD SHS NEW USD CL A O,CIK0001543268
BSAQ,BLACK SPADE ACQUISITION CO COM,CIK0001851908
BLEUR,BLEUACACIA LTD RT (CYM),CIK0001843370
BSGA,BLUE SAFARI GROUP ACQUISITION ,CIK0001853084
BRQS,BORQS TECHNOLOGIES INC SHS NEW,CIK0001650575
BORR,BORR DRILLING LTD SHS NEW DEC ,CIK0001715497
BBU,BROOKFIELD BUSINESS PARTNERS L,CIK0001654795
BPYPM,BROOKFIELD PPTY PFD LP UNIT LT,CIK0001545772
BPYPP,BROOKFIELD PPTY PARTNERS LP PF,CIK0001545772
BEP,BROOKFIELD RENEWABLE PARTNERS ,CIK0001533232
BRLIW,BRILLIANT ACQUISITION CORP WT ,CIK0001787518
BG,BUNGE LIMITED,CIK0001144519
CMCL,CALEDONIA MNG CORP PLC SHS NEW,CIK0000766011
BUR,"BURFORD CAPITAL LIMITED, ST PE",CIK0001714174
CASI,CASI PHARMACEUTICALS HLDGS INC,CIK0000895051
BANL,CBL INTL LTD SHS (CYM),CIK0001914805
CITEW,CARTICA ACQUISITION CORP RED W,CIK0001848437
DPCSW,DP CAP ACQUISITION CORP I WT E,CIK0001857803
CZOO,CAZOO GROUP LTD CL A NEW (CYM),CIK0001859639
CLAY,CHAVANT CAP ACQUISITION CORP C,CIK0001855467
CHSN,CHANSON INTL HLDG USD CL A ORD,CIK0001825349
CJJD,CHINA JOJO DRUGSTORES INC COM ,CIK0001856084
CMPR,CIMPRESS PLC SHS EURO (IRL),CIK0001262976
TRON,CORNER GROWTH ACQUISITION CORP,CIK0001847513
CRDO,CREDO TECHNOLOGY GROUP HLDG LT,CIK0001807794
CCEP,COCA-COLA EUROPACIFIC PARTNERS,CIK0001650107
DESP,DESPEGAR.COM CORP ORD SH (VGB),CIK0001703141
DSEY,DIVERSEY HLDGS LTD ORD SHS (CY,CIK0001831617
DLO,DLOCAL LTD COM CL A (CYM),CIK0001846832
ETN,EATON CORP PLC (IRL),CIK0001551182
EJH,E-HOME HOUSEHOLD SVC HLDGS LTD,CIK0001769768
GGAA,GENESIS GROWTH TECH ACQ CORP,CIK0001865697
GGAAW,GENESIS GROWTH TECH ACQUISITIO,CIK0001865697
HTOO,FUSION FUEL GREEN LTD SHS CL A,CIK0001819794
ENCPW,ENERGEM CORP WT EXP (CYM),CIK0001879373
ESTA,ESTABLISHMENT LABS HLDGS INC C,CIK0001688757
ENTF,ENTERPRISE 4.0 TECHNOLOGY ACQ.,CIK0001870925
ENTFW,ENTERPRISE 4.0 TECHNOLOGY ACQ.,CIK0001870925
EUCRW,EUCRATES BIOMEDICAL ACQUISITIO,CIK0001822929
ARYE,ARYA SCIENCES ACQUISITION CORP,CIK0001852432
NFYS,ENPHYS ACQUISITION CORP CL A (,CIK0001850502
ESNT,ESSENT GROUP LTD COM SHS (BMU),CIK0001448893
RE,EVEREST RE GP LTD(BERM)HLDG CO,CIK0001095073
FATPW,FAT PROJS ACQ.CORP WT EXP (CYM,CIK0001865045
FLNG,FLEX LNG LTD SHS NEW,CIK0001772253
FRBN,FORBION EUROPEAN ACQUISITION C,CIK0001874495
FDP,FRESH DEL MONTE PRODUCE(ORD),CIK0001047340
FTAI,FTAI FIN HOLDCO LTD SHS,CIK0001590364
GHRS,GH RESH PLC SHS (IRL),CIK0001855129
GCT,GIGACLOUD TECHNOLOGY INC CL A ,CIK0001857816
EPOW,GLOBAL INTERNET OF PEOPLE INC ,CIK0001780731
GTACW,GLOBAL TECHNOLOGY ACQUISITION ,CIK0001848821
GENI,GENIUS SPORTS LTD SHS (GGY),CIK0001834489
GFS,GLOBALFOUNDRIES INC SHS (CYM) ,CIK0001709048
GRRR,GORILLA TECHNOLOGY GROUP INC O,CIK0001903145
GRRRW,GORILLA TECHNOLOGY GROUP INC W,CIK0001903145
GSUN,GOLDEN SUN ED GROUP LTD USD CL,CIK0001826376
GRCY,GREENCITY ACQUISITION CORP USD,CIK0001768910
GRAB,GRAB HLDGS LTD CL A ORD (CYM) ,CIK0001855612
GFGD,GROWTH GOOD ACQUISITION CORP C,CIK0001876714
HMACR,HAINAN MANASLU ACQUISITION COR,CIK0001894370
GFAI,GUARDFORCE AI CO LTD SHS NEW U,CIK0001804469
HELE,HELEN OF TROY LTD-NEW-BERMUDA ,CIK0000916789
HLF,HERBALIFE NUTRITION LTD,CIK0001180262
PRLH,PEARL HLDGS ACQUISITIONS CORP ,CIK0001856161
JHG,HENDERSON GROUP PLC ORD SHS (J,CIK0001274173
HKIT,HITEK GLOBAL INC SHS (CYM),CIK0001742341
HUDI,HUADI INTL GROUP CO LTD USD OR,CIK0001791725
IHS,IHS HLDG LTD ORD SHS (CYM),CIK0001876183
ICLR,ICON PLC ADR,CIK0001060955
INDO,INDONESIA ENERGY CORP LTD USD ,CIK0001757840
IFBD,INFOBIRD CO LTD,CIK0001815566
IFIN,INFINT ACQUISITION CORP ORD SH,CIK0001862935
ILAG,INTELLIGENT LIVING APPLICATION,CIK0001814963
IGT,INTERNATIONAL GAME TECHNOLOGY ,CIK0001619762
IXAQU,IX ACQUISITION CORP UNIT 1 CL ,CIK0001852019
JUGGW,JAWS JUGGERNAUT ACQUISITION CO,CIK0001842609
JWSM,JAWS MUSTANG ACQUISITION CORP ,CIK0001831359
FRGT,FREIGHT TECHNOLOGIES INC SHS N,CIK0001687542
JWEL,JOWELL GLOBAL LTD USD ORD SHS ,CIK0001805594
KXIN,KAIXIN AUTO HLDGS SHS (CYM),CIK0001713539
KAL,KALERA PUB LTD CO SHS NEW (IRL,CIK0001909152
KRNLW,KERNEL GROUP HLDGS INC WT EXP ,CIK0001832950
KNSA,KINIKSA PHARMACEUTICALS LTD,CIK0001730430
EZGO,EZGO TECHNOLOGIES LTD USD ORD ,CIK0001806904
LCAA,L CATTERTON ASIA ACQUISITION C,CIK0001841024
LBBBR,LAKESHORE ACQUISITION II CORP.,CIK0001867287
LANV,LANVIN GROUP HLDGS LTD SHS (CY,CIK0001922097
LICN,LICHEN CHINA LTD USD CL A ORD ,CIK0001876766
LBTYK,LIBERTY GLOBAL PLC SHS CL C (U,CIK0001570585
LIN,LINDE PLC NEW SHS (IRL),CIK0001707925
MHLD,MAIDEN HOLDINGS LTD COM STK (B,CIK0001412100
LYT,LYTUS TECHNOLOGIES HLDGS PTV L,CIK0001816319
MLACW,MALACCA STRAITS ACQUISITION CO,CIK0001807594
MLAC,MALACCA STRAITS ACQUISITION CO,CIK0001807594
MARX,MARS ACQUISITION CORP SHS (CYM,CIK0001892922
MGTX,MEIRAGTX HLDGS PLC (CYM),CIK0001735438
MACAW,MORINGA ACQ CORP USD WTS TO PU,CIK0001835416
MTC,MMTEC INC SHS NEW US$0.01(VGB),CIK0001742518
NBR,NABORS INDS LTD (NEW) BERMUDA ,CIK0001163739
NEGG,NEWEGG COMM INC USD COM SHS (V,CIK0001474627
JOBY,JOBY AVIATION INC (CYM),CIK0001819848
GDEV,NEXTERS INC ORD SHS (VGB),CIK0001848739
NE,NOBLE CORP PLC USD0.00001 A AL,CIK0001458891
MBTCR,NOCTURNE ACQUISITION CORP USD ,CIK0001837344
